profile-name,review-star-rating,review-body
Tameka Winn,5.0 out of 5 stars,"
  It charges so fast! It’s very good and you never hear the fan, i've heard it once and that's it! Don't try to ruin ur laptop bc this is a very good macbook.
"
James I Reed,2.0 out of 5 stars,"
                    The media could not be loaded.
                ,
   On the right hand side you can see a black line of dead pixels that quickly became much worse. And although it was on every window you can really see it on the graph where the image burned into the 3 week old screen that I barely used and bought specifically because it was considered the best option for trading view the program in the video. You can see. Facebook logo burnt in on the right but the whole screen was ghosting everything bad.  It’s just hard to see most of it. I have no idea what caused this. As it’s not a 20 year old crt display with an nes left on for years. It’s a brand new Liquid Retina I’m sure I’m not the only one to experience this but do keep in mind I was lucky and able to return because this happened one day before my 30 day window closed. My experience with apple has always been with second market items aside from my phone they are not very helpful unless you pay  a very high service fee. I’m sure I could have had this repaired for free but at the price and the fact that it was my very first Mac I sent it back and have no intention on owning another one. Best thing I could suggest is if you must own a Mack buy apple care they will replace  it twice brand new. U may need that done. The build quality outside of the electronics is unmatched. Absolute perfection in every seam. I wish it would have worked I bolutely loved this machine until the day it broke down. Now I won’t ever feel comfortable owning a new one again. I did purchase the m1 iPad instead and love it. Well my 2tb model. The 128 is not enough storage 2tb I’m sure will be plenty. I think apple is a great product as long u never have any issues. If you do be ready to spend like you did the day you made your purchase.
"
Brian Haney,1.0 out of 5 stars,"
  I am extremely disappointed with this machine. I bought this specifically because it had a GPU, which I thought would be beneficial for programming with data. However, the new Apple Chip is completely unworkable. None of the modern software packages for data science are compatible with the chip, rendering the machine worthless and void for its intended purpose. I will never purchase another Apple machine.
"
DM29,5.0 out of 5 stars,"
  I’ve been a lifelong user of Windows PC and Linux. Until Big Sur and the M1 chip came out I’ve been hesitant to try Macs, so I first got my toes wet by getting an iPhone 12 earlier this year (also a long time Android user). Having used an iPhone for over 6 months now and being very pleased by its performance I felt encouraged to try one of these new MacBooks, and let me tell you, it did not let me down.,I think the level of thinking and detail that went into designing this device is out of this world. You have to give credit where credit is due: this is the most well designed high performance laptop I’ve ever used.,10/10 would recommend.
"
anon,1.0 out of 5 stars,"
  Only 100$ off 6 months after release. Charging too much for old technology. no touch screen
"
Puru,4.0 out of 5 stars,"
  I purchased this laptop because my previous laptop (a behemoth of a gaming laptop) broke suddenly broke down. It was great, except for the fact that it felt a little slow. Maybe it is because I had downgraded from a 144hz screen to a 60hz screen, or maybe because my previous laptop was a performance monster, it just didn't feel that good. However, other than that, it is an amazing laptop. Very portable, and doesn't really heat up that much. Also, it charges super fast, therefore I could charge it for 30 min to 1 hour in the morning and go the the whole day without having to worry about charging it. Overall, it is an amazing product, however, it wasn't the one for me.
"
Janesk,1.0 out of 5 stars,"
  I purchased this laptop and it dropped, but not a hard drop and the screen broke. We had to replace it and did so with an original screen. It got hit again, not hard (I swear!) and it broke again. I've never had a laptop that's as fragile as this one.
"
Luis N.,1.0 out of 5 stars,"
  La compré en abril, pero la comencé a usar recién en mayo 2021. A comienzos de setiembre comenzó a fallar el touchbar y ese mismo día se apagó y no volvió a encender.,El servicio técnico dice que es un fallo eléctrico y tendrán que cambiar varias partes, incluyendo la batería, el touch bar, el teclado, etc. Es decir, una computadora de casi 1500 requiere un mantenimiento bastante grande luego de solo 4 meses de uso.,Me parece bastante mal. Obviamente, desde donde estoy es imposible comunicarse directamente con la empresa. La página web dice que siempre está ocupada y el servicio técnico hace que los clientes firmen un documento que, básicamente, sirve para que no haya opción a reclamar. Es más, si no dejo que la reparen, estoy obligado a pagarles por el diagnóstico.,No puedo recomendar un producto tan caro que se estropee tan rápido.
"
Lee,5.0 out of 5 stars,"
  This M1 Mac is a true gem! 💎 Apple really looked out for us budding students both of life and in the classroom, on a tight budget! You can really grow with this mean machine! This Mac blows me away, especially my first and last Mac being the Mac Pro 2011. Btw the MODEL NUMBER is A2338!  Got this during tax free week too .. Received in 1 day with Amazon Prime! 😮‍💨🙏🏾👍🏾, p.s. I LOVE the Touch Bar! So futuristic and cool to navigate from like a space ship 🚀 I can totally see apple doing an option for all touch screen keyboard………….
"
Bruce W.,1.0 out of 5 stars,"
  The Apple MacBook Pro looks great and, based on all the reviews, it probably is.  However, as a 71 year old man, accustomed to using Windows for the past 12 years, this new MacBook Pro was very different.  The part of it that really makes me angry is the fact that it came with NO INSTRUCTIONS.  I need something to look at and do things, step by step.  It started off with a Voice tutorial thing that was as confusing and ridiculous as anything I've ever seen.  Trying to access the ""guide"" on my cell phone while trying to set up this MacBook was as frustrating as anything I've ever attempted.  For a big company, like Apple, to fail so miserably at KEEPING IT SIMPLE, is a horrible error.  I will struggle through this but I'm not happy about how difficult this is for me.  Some clearly written instructions, included with the machine, would have been nice.
"
Clarkb286,5.0 out of 5 stars,"
  The performance of this machine (CPU, memory, SSD, and GPU speed) is outstanding. The battery lasts over 10x longer than my previous laptop, a Lenovo Thinkpad T490. The display is bright (500 nits) and beautiful. The laptop is ultra-portable, weighing less than 3 lbs. Either the cooling fans on this laptop are so quiet that they're inaudible, or else they've never come on! macOS Big Sur is intuitive and feature-rich, and the fact that the OS is based on Unix makes software development a delight. The only criticism that I have with this machine is that it only has 2 Thunderbolt 3 USB-C ports; an external USB-C hub/adapter/dongle is required if one needs HDMI, USB-A, Ethernet, SDHC, DisplayPort, or VGA connectivity. The price / performance of the M1 MacBook Pro is hard to beat!
"
Bob D,5.0 out of 5 stars,"
  A nice, lightweight computer with beautiful screen and nice sounding audio speakers. Battery life is awesome.,Only negatives are:,1. I miss the mag charge connector, this USB-C seems flimsy and  not durable.,2. ZERO ports! You'll need a side port product like the Cheotech or others if you want to add accessories.
"
Katrina,5.0 out of 5 stars,"
  The Touch Bar on this Mac book makes writing so much easier. It has predictive text and know what you’re trying to say. It saves passwords by your fingerprint. If you are an Apple person like me you can unlock your max book from your Apple Watch. The battery life on this is amazing. I’m on it hours at a time and hardly ever have to charge it. Great Apple product.,Keeps my life on track as I’m a busy teacher and parent and travel for my other job!
"
PhiliptheGreat,5.0 out of 5 stars,"
  I was impressed that there was no lagging when photo editing it.  I switched from PC to Apple which might take some adjustment.  If you’re like me,  I recommend that you watch some YouTube videos on some handy tips.,The only thing that irritated me was that the package was left on the doorstep for hours.  Nobody signed for it.  I shuddered to think what might happened if it got stolen. Definitely worth investing Nest or Ring door bell even if nothing got stolen.
"
WSSizer,5.0 out of 5 stars,"
  I’ve had the new M1 MacBook Pro for several months now, and I have to say that it lives up to all of the superlative reviews it received. As expected, the most noticeable improvement is its speed, which is in another league from my 2012 Mac. Battery life is excellent, and the automatic day/night screen change works very well. Although some prefer the standard control bar on the MacBook Air, I think the automatic control bar on the new Pro is really neat. I also like the larger touch pad on the Pro vs the one on the Air. All things considered, the new MacBook Pro is a great value, especially at the Amazon sale price.
"
Doug Davis,1.0 out of 5 stars,"
  Couldn't get through the setup phase.  Wouldn't connect to my network.  Two other computers are connected plus a smart TV and two phones.  I know which is my network and my password.,They come without a manual or a quick start guide.  Have never used a Mac before.  You have a voice speaking to you but I couldn't understand what it was saying.  Doesn't have a touch screen.,I'll be looking for another laptop PC.
"
Richard W. Zawatzke,4.0 out of 5 stars,"
  I love its bootup sound and appearance BUT, it wont run any of my old software.  So what good is that?  Just because it purrs like a kitten it ain't worth a thing to me.  So that is why I am returning mine.  Unless you never owned a computer buy it.  Too reinvest in all the needed software whould be out of my price range.
"
Velma S.,2.0 out of 5 stars,"
  Why is there only two reviews and hardly anyone purchasing this item?. Must not be a good product compared to other similar ones listed here. Or the price is too high, one of the two.
"
EINTESLA,1.0 out of 5 stars,"
  The unit is smaller than the original Air, also it has NO USB ports, the description on the page is misleading and they never show the right-hand side of the unit in the pictures, otherwise, I would have never bought it, Amazon return policy is horrible they take 2 weeks to refund your money, took it out looked at it said nope, didn't even registered it.  Waste of time and money.
"
Nicole Marie,5.0 out of 5 stars,"
  The computer is everything I thought it would be. Gave the camera a 3 star because quality could be better but I don’t use FaceTime as much so it’s not a big deal to me. Overall so worth the money. Great investment for my book writing and finances.,Definitely a major upgrade from my HP.,Now I wasn’t sure who to contact about delivery or where to write it but I don’t appreciate having told them I want someone to sign for it being it is a high value priced item and it was just thrown on my porch and I wasn’t notified at all then when I go look it says it was directly handed to me. Don’t like liars so Amazon you need to get it together because if this would have gotten stolen I would have raised hell for my money back.,-thanks.
"
Paul Smith,5.0 out of 5 stars,"
  I put this along side my £3,500 13” MacBook Pro (2019), which was spec’d up to the max, and the M1 Air wiped the floor with it. Twice as fast encoding the same video, making my top of the line Intel MacBook Pro instantly obsolete. You can not go wrong with this purchase. This is the biggest evolutionary leap in desktop computing since the early 00’s. I’m just upset I bought this as a gift for someone else.
"
Renee Reed,3.0 out of 5 stars,"
  The first one I received got bricked trying to restore after the initial setup failed.,The second one is fine.,You can google the issues.,Apple support said I'd need to bring the first one into the apple store for a firmware update to get it working.,Not great for a brand new 1000$ laptop.,Anyway the second one came already updated and everything has been fine so I'm happy now.,It's snappy and has that new macbook smell.
"
S. Vreeland,1.0 out of 5 stars,"
  If I could go back I probably would though past the time now.,I'd say I'm computer savvy, spent years of time on windows programs, photoshop etc. Now that my current Dell Inspiron is reaching the end of its life, I followed all the great reviews and purchased this MacBook Air M1.,Everything is hard. I actually loved my Dell in many ways, though hopefully its life, around 4-5 years, is about half what this Mac will be.,Things I'm missing the most so far, a touch screen, the ability to fully open ie fold-back and flatten the rotation the screen, even the fact of needing to use 3 fingers to take screen-shots instead of an allocated button, the delete button is actually a back-space not delete button. Notifications keep coming in upper right corner, blocking what I might want to access there. One needs to go through each app to change the setting btw, there's no default to say do not show notifications. It would at least be good to have the option to change the location of where they show up. I much prefer chrome to safari, though found on reading that chrome eats up a lot more power. I downloaded Flotata this morning which is supposed to help though I haven't tried yet. Incredibly frustrating especially when time is very limited, trying to figure things out!! Have spent hours on calls with Apple support which thankfully is very accessible. But my computer seems glitchy, sometimes the screen-sharing doesn't work. I haven't purchased a mouse as yet for it and also finding ""right-clicking"" with 2 finger tapping to be frustrating and not working as I'd expect it to.,Overall unfortunately not a happy camper. Maybe for Mac users it may be a good machine for whatever reason.,I was also very torn whether to get the 8 or 16gb, I went with the 8. I don't think that would make a difference at this early stage of being new.,I also tried to have my teen daughter, who's used to Macs, give me tips though she was't terribly helpful so I watched a couple of YouTube vids which gave some guidance, things are not intuitive.,I don't like posting negative reviews, though sharing this in case others in similar situations ie needing to carry on with trying to get things done, while their windows laptop is reaching the end of its life and needing to choose a new machine, may find this helpful.,Also as an fyi, I had to pay an additional nearly $300 to have my 2 external hard-drives transferred onto a new Mac compatible one, so I can access all my previous work.,Wishing everyone better luck!
"
AJ ,2.0 out of 5 stars,"
  Im sure its amazing for die hard Mac users. However, the one port is a non starter for me. I opened it started it up and one I realized I had to buy accessories to add anything additional, I cleaned it and packed back up to return. One port is horribly inconvenient for my needs, and having to carry around an accessory to add even one more is a waste of my energy. I can and will purchase something more adaptable and suited to my needs
"
Do not know why they are requiring a pen name,2.0 out of 5 stars,"
  Buying into the Apple ecosystem should only be done to make products for the ecosystem which will make the user money, but, do not make them a critical part of your workflow.  They are too expensive for that.  Apple just does not make good computers.  Yes, they make a OK operating system, but they make computers that cannot be repaired by taking out the ssd or ram sticks and putting new ones in.,You can't just go and buy the parts to fix your Mac computers when they break.  The MacBook Air is no exception to this.  The SSD is solider to the motherboard.  Likewise the RAM.  Now, if that were the only problem, well -- one would be able to get someone skilled to replace these broken pieces after Apple stop warranty coverage -- maybe.  But, they don't even allow the suppliers of these chips to supply them to the public.  So, once the warranty is. up -- you will not be able to get spare parts for the computer.  Needless to say, this is a major flaw in Apple products -- of which it is no exception for this MacBook Air.  (Oh, and if they start allowing suppliers to supply, but, lock down with crypto keys to a particular machine we just have even more e-waste.),Also, this computer flickers with a 4K output.  The MacBook Air has screen flicker with an external monitor using the HooToo dock that I've used with an Intel MacBook Pro which is a few years old.  This is unacceptable.  Apple's response to the sometimes frying the computer for using USB-C docks that work with other computers is an example of the poorly built computer they are pushing.,Though poorly engineered in terms of video, ssd, and RAM.  It is a wonderful typing experience when using the laptop keyboard.  If you are willing to let that guide you, then, the computer may be worth it if you are willing to set aside another grand when ssd fails or you plug in the wrong dock to drive an external monitor even though someone else just had their Intel Mac plugged in and worked just fine.  (Supposedly Apple fix this with an OS update -- good for them.),Even though I dislike the Mac, it is better than most laptops -- because it is quiet since it has no fan.  Would I buy one again? Perhaps -- it is a question of whether I think the market exists for me to make money off of it.,The good things:,Keyboard, touchpad, Built-In Screen, Build-In Speakers, Drives External Audio better than Microsoft Windows, and the Operating System is less cluttered than is Windows.  Also, comes with a Spreadsheet, Word Processor, Presentation Program -- now, it is better just to use something really Libre -- like LibreOffice.  But, it is kind of nice the table steaks are included -- unlike for Microsoft Windows.
"
Cyrine,5.0 out of 5 stars,"
  I needed a new computer desperately, (screen broke and volume malfunctioned on my beloved old Asus transformer), so after much research about Macs online, I ordered a new MacBook Air. Most of the online reviews and info praised it except for the camera, and in this current pandemic Zoom world, that was a must!  However, I couldn't imagine a new apple  computer having a worse camera than my old iPhone 6 which I am still happily using, so I took a chance! The laptop is awesome on so many levels! New M1 chip, super fast everything, and fantastic color display!,The sound and yes, the camera, are phenomenal! I can only assume the bad camera reviews were made by video bloggers that need extreme HD resolution. I just do average work on my computer, so no problem there! I am thoroughly enjoying surfing online, streaming videos, and Zooming with great clarity. I needed to clarify this camera issue for those holding back from purchasing such a great computer just due to those negative camera opinions, as I was. If I had read my review or one similar to it, it would have eased my mind. So, unless you're a vlogger , fear not!,It's a fantastic computer in every sense of the word! (Not to mention the $999 price for a new Mac!) Get it!!! You won't regret it! The rose gold is especially pretty!
"
Miles Davis,1.0 out of 5 stars,"
  I'm very happy with this laptop.  It's fast, battery life is great, screen is bright, and it's super light weight.  The only thing that sucked about my experience was the Amazon One Time Password.  I had to plan my day around trying to be home to receive my laptop or have my delivery delayed.  I totally recommend that people who are looking for a great laptop buy this one, but I recommend not buying it from Amazon if you can avoid it.
"
Howard Woodward,5.0 out of 5 stars,"
  You can read about the new features of the 2020 MacBook Pro with Apple's new M1 chip online. It is living-up to my high expectations. Out of the box, the initial start-up was flawless, downloading all my Contacts and documents from the Cloud, linking to Internet, and upgrading to MacOS 11.1.
"
juju,5.0 out of 5 stars,"
  this is my 3rd Macbook pro.  and each time it gets better.  Much thinner than my previous one, and very light weight.  the only thing I don't like is that it only has the USB c, which doesn't allow charging of other devices.  I had to go and get the adaptor for an additional $20.  Also they don't include the extension cord anymore, which I don't mind, since I already have 2 that came with the other ones.
"
Joey LH,5.0 out of 5 stars,"
  I purchased this for my 4yo daughter's online classes so it definitely did not disappoint. She uses Zoom an Google Classroom and these programs work flawlessly on a MBP M1. We do not plan on doing heavy tasks on this laptop, just the basic browsing, social media, video calls and online school stuff. It's pretty fast, but I find that our 2014 16"" MBP retina to be the same. The battery lasts FOR DAAAAAYYYYSSSSS. A full charge lasted 4 days w/ 3 hours of daily use. Quite impressed! I know how sturdy MBP's are with our 2013 and 2014 MBP's still alive and working well, so I know I'll get our money's worth with this laptop.,TLDR: Lightweight, battery for days, super fast, apps and programs work seamlessly for students.
"
AdderallTaco,5.0 out of 5 stars,"
  Coming from one of the worst MacBook Pro generations (2017) this was a breath of fresh air. Very snappy, quiet, cool, long battery life, FANTASTIC KEYBOARD (Those butterfly switches were a mess) Oh and the touchbar, I love that thing, didn’t think I’d use it a lot but here I am using it a lot😂 It’s an amazing laptop, the only laptop I’d ever recommend anyone get (besides the MacBook Air)
"
artie,3.0 out of 5 stars,"
  Lacks DVD drive: no movies whilst on the road, also, all music has to be purchased. My wealth of great music CD's not accessible. Arrived fully charged. Looks nice, just not versatile enough. Steve Jobs needed at Apple. Alas.
"
TroppoBella on Etsy,5.0 out of 5 stars,"
  The screen on my 2014 does, and I didn't;t want to send the money on a new one, but the exterior screen started giving me problems, too, and I threw in the towel. Boy, am I thrilled that I did! This little MacBook is perfect! It's even more user friendly, has amazing colors, and functions with all modern apps. I'm absolutely in love with it!
"
Kristine,4.0 out of 5 stars,"
  I actually loved this except for the lack of a touch screen.  I ended up returning because of it.  The touch bar was ok but when it came to copy and pasting I had a very hard time with the mouse and there was no option to touch it.  Everything else was top of the line especially the battery life.  If they have a touch screen version I would buy it for sure.
"
Amazon Customer,1.0 out of 5 stars,"
  The Macbook was defective since the day it arrived. Apple refused to give me a new laptop because it was bought on Amazon and Amazon charged us a 20% restocking fee????? for returning a product that never worked as expected!
"
Kanan Adilzada,5.0 out of 5 stars,"
  Only downgrades:,1. Screen bezzels are thick,2. Keyboard is not as good as some of the windows laptops such as HP Spectre,3. This Mac has incredible performance but so pitty some legendary games are only available for windows.,The rest features (despite the display color gamut) are amazing and better than any other ultrabooks.,So, 4.5/5.
"
madebyche,5.0 out of 5 stars,"
  This is honestly an excellent machine.,Not even interested in discussing ""cons"" because there aren't any if you  weigh up the price point fairly for what is arguably the best ultra portable laptop on the market right now (July 21') and I don't mean the fastest.,The ""only two"" thunderbolt slots can be dongled out to the max. If you want a second or third monitor setup, get any ""display-link"" certified hub like the Dell 452-BCYT D6000 Universal Dock (pricey) or the WAVLINK USB 3.0 Universal Laptop Docking Station,USB C to 5K/ Dual 4K @60Hz Video (cheaper).,The 7 cores of GPU on this model won't be noticed vs 8 cores. The machine is a beast. I'm using Lumafusion to process video (not even designed for MacOS but ports across from iPadOS) and it's 3X as fast as the iPad Pro that I own - 2019,Best laptop I've ever owned and I've owned two earlier MacBook pro's, a Mac mini, several windows laptops, and the Dell S2721Q 27 Inch 4K UHD monitor I purchased here is parked on top of the last windows machine I purchased.,The 4K dell monitor is easily crisp enough for MacOS and I purchased the keyboard used and Magic Mouse (2) new, on Amazon.,It's been a while since I've been on MacOS and would describe it as wonderful to use and look at, after coming from windows 10. Sidecar is also amazing (using the iPad Pro to the right for that),If you're shopping for a laptop or a Mac laptop, this is a good option.,You'll love it. Nuff said.
"
Darrell R.,5.0 out of 5 stars,"
  I have used Microsoft Windows based computers 100% since 1985.  Now for the 1st time I decided to try Apple out instead to see how Windows compares to a MacBook.  Only been a few days and I already see things unfamiliar I am learning. So far...I have to say the speed of the new M1 processor compared to any of the Windows 10 computers is very impressive and just the speed and ""faster response"" the MacBook seems to have combined with the programs I have downloaded and a few I purchased I would have to say I prefer the MacBook.  I added a 7 port USB hub and a trackball I use instead of the built in pad but other then that I have not changed a thing.  It definitely does everything I need it to do both business related an for pleasure.  I also enjoy the small portable size and will be taking it on it's first trip in just a few days.  If anyone is a current Windows user and is considering the switch to try out a MacBook I would say go for it and do not look back....If you purchase one and later decide you would prefer not to stick with it a MacBook seems to hold their value much better then the majority of Windows based computers out there.
"
Ashley,3.0 out of 5 stars,"
  Computer is lightweight and fast but... right out of the box I had a service battery notice. Charged it up and it was still there. Made an appointment with the nearest Apple store (20 miles away). They confirmed my Mac was made this month so it was brand new but they can’t replace it since it was bought from Amazon and not Apple. They sent it out for a new battery under warranty which was to take 3-5 days and they have had it a week now and haven’t completed the repair yet. All around not a good experience for my first Mac and spending a thousand bucks on a laptop. I’ll be going back to pc after this.
"
Matt H.,4.0 out of 5 stars,"
  Pros,Works,No fan - super quiet,Screen resolution decent and looks good from most angles,super-fast response time during use,wakes up from sleep instantly,looks nice (for a laptop),not super heavy,If you check your email, listen to Spotify, shop online (Amazon), web browse, watch Youtube videos, Zoom calls, work with Apple Photos, look at PDF's, Use Google Docs/spreadsheets - this is a great laptop,Cons,Some software is not compatible or has problems with the M1 Apple CPU ( not that I've experienced but this might impact you),No Built-in cam cover for $1000+ laptop - and according to apple if you use your own you can damage your screen - https://support.apple.com/en-us/HT211148,When you open the laptop unless you're super careful you smudge the laptop camera/that general area - that or you open it from the sides,no LED light indicator for if the laptop is on, sleep mode, charging, fully charged,charging seems kinda slow,they removed the keyboard brightness physical buttons - but you can pin this in the top-right menu bar or and it's in the control center,side note OS,On the login screen of Big Sur, you can see the battery icon but not the exact percentage you have left - have to log in for that,still have to manually turn on ""show thousand separators"" on the calculator app
"
Jackie,5.0 out of 5 stars,"
  I love this little computer! When I was looking for a laptop to buy, I almost went with a used, older MacBook Air. I decided to just spend the extra money and get a brand new computer and the newest model and I’m so happy I did because Apple’s M1 chip is impressive. After two months of owning this laptop, I think my favorite thing is the battery life. For lighter tasks (web browsing, listening to music, steaming Netflix etc), the battery could last the entire day, and I love how I can take this thing anywhere with me without having to lug a charger around as well. For heavier tasks, it of course doesn’t last all day but you get a lot of hours out of the battery. It rarely gets hot, and doesn’t even have a fan, so you know how efficient that chip is running. I also love the fanless design because I can have it with me in my bed or anywhere and not worry about blocking vents or getting dog hair in those fans. I don’t use it for anything crazy, mainly just work and personal stuff, along with frequent streaming and occasionally I’ll fire up the Sims 4 (and it runs beautifully by the way). But I’m never not impressed by how quick it is, opens applications almost instantly and wakes instantly. Also, I am new to Mac with this purchase but have owned iPhones for a decade and I love the seamless integration jumping between applications on your laptop and phone. So far I’m loving Big Sur and basically this is just a laptop that would be great for almost anyone.
"
sbellamy3,5.0 out of 5 stars,"
  I left the Apple product line years ago due to their practice of ""forced obsolesce"" with early iPhone models. Having worked in IT for most of my career I like being able to have full control of my device. Apple mostly locks up their devices.,But, I decided to give the MacBook Air 2020 a chance because: 1. my MS Surface didn't last long enough for the money and it, too, is hardware locked and 2. I was impressed with the M1 specification.,After playing with this machine I have to say the M1 is AWESOME! The screen response is shockingly quick in comparison to other PCs and Apple devices.,I highly recommend ONLY buying an Apple device WITH a M1 processor.
"
Rapp,5.0 out of 5 stars,"
  The camera is not really current. Especially for a laptop in this price range. It’s not much, if any, better than the toshiba laptop I got at Walmart for $400 back in like 2010. It is actually fine for me because I don’t rely on it for work or anything. But if you rely on it for virtual meetings, FaceTime, zoom, etc, you will be disappointed in the camera quality. I have very little need for the camera so it doesn’t bother me personally. But the camera is absolutely embarrassing for what has been named the laptop of the year by many, and I would agree, it’s a great computer. Great battery life, super fast charging, very light, not quiet—silent. Quiet implies there is a minimal amount of noise. There is no fan in this and it’s is literally silent. No noise at all, at any level that I can discern. Really fast. Best laptop I’ve ever had for sure.
"
Ed Deese,5.0 out of 5 stars,"
  I replaced on older 2009 MacBook Pro with this new model from Apple. It has the new M1 chip and it is fast. For the type of things I do in a home office this is lightning fast. I don't do a lot of editing of videos or play video games on it so my work load is pretty mundane compared to others. I like it though because it is lightweight when I take it to my den or on a trip in my computer bag. The battery lasts a long time and the keyboard is very responsive. Love the screen clarity. I have not found any of my regular apps having any difficulty running on the new chip. I did set up a new camera connection app to see how it would do and had no issues either. It is running in the background and when they update to work specifically with the new chip it should work even better. I don't have any negatives with this computer. I have been an Apple fan for several years now and so use to it that I have great difficulty when trying to use a Window's based computer.
"
jdlu,5.0 out of 5 stars,"
  i am a windows man way back 40 yrs.  since i used windows software for work i saw no reason to switch to apple.  although i did have an apple  IIc for fun way back in the early pc days,My surface pro entry model has been around for many yrs and the battery has run down and mostly i use it plugged in. I decided to try a mac to learn something new. After research i decided to get the mac air m1 w 8GB ram and the 512GB SSD - this is what i learned ( not going into why i decided what i did as anyone can do the same research,1. setup and initial use was not as easy as advertised,- couldnt get past the country selection and found after search many had same problem. almost returned it but i finally found i could move selection by tab key AND selection based on space press and  NOT return key - track pad was useless - ( it had a little to do with track pad setup that can only be performed later as well as track pad difference from MS product) .,windows and track pad usage not same as windows and i couldn't resize screen windows or even drag them on the screen -,plenty of tutorials on you tube - but none really helped decipher selection until i figured it out watching an excel tutorial on how to select and drag cells - you have to ""hard"" press.,This hard press finally solved the moving and resizing windows issues - again none of this info was included with product.,2. very confusing from reviews n QnAs whether or not this mac had 7 or 8 core GPU - according to internal report its 8 core,3. what have i learned -,- very lightweight machine,- lots of internal tweaking can be done to personalize machine,- very fast on the task used - browsing and some excel files now needing to run under mac for which i purchased new software,- beautiful screen,- great battery life,- particularly liked my iphone messages show up on the mac and i can send and receive on same - apple makes computer look sim to phone,4. recommendation - for 1000$ to 1200$ a student or any one like me, whos not going to program or have a gazillion windows open or need a large screen, can get this machine - a comparable windows machine would cost same but a windows machine can also be purchased for a lot less and still be capable of student tasks.,However, the battery life and weight and integration w iphone tip the scales to this machine if you want to purchase a comparable MS product
"
Kindle Customer,5.0 out of 5 stars,"
  I have had my new MacAir not quite two weeks and it is even better than I expected.  This one is with the new M1 chip and is an upgrade from my previous Mac....which I loved.  Faster, better, more battery.  What's not to like.  And frankly the price for the machine is a bargain.  I do not use my Mac for gaming, heavy downloads, large graphics so can't comment but is why the Air is a perfect choice over the Pro.  Transferring files etc from my previous Mac was a snap and now I have my ""old"" Mac on the M1 so everything works better.  I was a bit surprised everything is the same size and weight....but that's likely because I didn't look at those specs before purchase.  One sweet thing about the Mac is it comes about 70% charged so just open and start.  If you are considering a Mac or have one and are thinking about upgrade just do it.  And Amazon made it easy....arrived in two days.
"
Amazon Customer,5.0 out of 5 stars,"
  No problems with the mac air. Easy to transition from my old 2104 MacBook Pro. I also bought an external HD which was cheaper than upgrading from old 256 to 512. My warning is about Office 2019. There was stuff on the web that 2016 would not work, needed 64bit, but while there seemed to be workarounds, I just upgraded and bought 2019. There is a scam site posing as Microsoft Office/setup that looks legit once on it, but you get an error message and phone number to resolve. After half an hour he explains that it is the firewall and can fix it by downloading one costing only hundreds of dollars. The url isn't Microsoft but rest looks like it. While I didn't fall for it, it is preying on the few who might. So thought I would mention it. The mac is good and worth upgrading especially if, as with mine, hardware faults are developing in old one.
"
Tom Y.,2.0 out of 5 stars,"
  I had given this a few months since release for some of the software compatibility issues to be straightened out, and was encouraged by reviews. However, there are significant unresolved issues from the hardware side of things: 1. there is a known problem with disk usage related to RAM disk swap (from what I understand) and media-heavy usage (why I bought this laptop) deteriorates the SSD quickly. 2. the FaceTime camera is absolutely terrible. There is no other way to put this. It may be the worst camera I have seen on any device since my iPhone 3G. The picture is incredibly blurry, and not suitable for the COVID/virtual environment. There have been issued raised about this in Apple support forums with no resolution.,Unfortunately my return window has passed, but I would not recommend this machine to anyone. Really thought Apple had turned a corner with their new processor, but ended up being stuck with a bunch of other systems that weren't upgraded. 2/10
"
Jdon,1.0 out of 5 stars,"
  my new 13in Macbook Air has a lot of fingerprints on the INSIDE of the glass screen. It's on the top left corner down the left side and starts along the bottom. I don't like it .
"
Jessica Schneider,5.0 out of 5 stars,"
  First off: this computer is extremely lightweight, well built, and beautiful. Yes this is the new MacBook Air M1. And it arrived with 4 days after shipping (bad weather slowed it down so it arrived late).,Battery: I’ve been on my computer for 12 hours today and battery is at 64%. I’ve had it for 3 days. And have only charged it once.  And that was when it arrived while I set up.  The computer is very quiet it and does not get hot. I’ve had several tabs open and applications at once and it didn’t even slow down or run hot.,Camera: FaceTime calls are beautiful on here. Facebook messenger, you look a little yellow, but other people look perfect(probably lighting issue),Sound: is amazing, the best I have had on any computer. Crystal clear sound. This computer gets really loud,Speed: this computer is extremely fast.  Internet sites load with a second. As soon as you sign in it’s an instant log on to your screen with no waiting for application to load.,This by far the best computer I’ve had. If you are looking at your first MacBook laptop this is great(this is my first also). If you are looking to upgrade a really old MacBook model you will love this. Worth the money!
"
Amber S,4.0 out of 5 stars,"
  This Macbook is definitely great for users who want lots of power and versatility, but don't want to break the bank. It is very lightweight and sleek.The color (gold) is also very pretty, but keep in mind that it is more of a pinkish gold than a yellow gold. However, the camera quality is not great for such an otherwise powerful laptop. Especially in this era of zooming and FaceTiming, a good camera is essential in a laptop. It's not terrible, but its not great either. Another thing - the front lid of the MacBook got a couple of scratches very easily. I was able to get them off, but I would suggest getting a good quality case to ensure that this doesn't happen. All in all I would rate this Macbook a 4.5/5! Definitely lived up to the hype!
"
